,depth,num,rpc_type,percentage
45272,8,700,db,0.015714285714285715
45273,1,516,http,0.00013365410318096765
45274,6,33,http,0.00012503744253086768
45275,3,727,mq,0.0003026134800550205
45276,3,800,mq,0.00036458333333333335
45277,4,20,mq,0.01724519730988542
45278,7,287,mq,0.0009723685276719877
45279,19,54,mq,0.05506980642096308
45280,20,4,mq,0.08065285820477759
45281,4,20,rpc,0.44984373326775984
45282,5,97,rpc,0.06695345664038814
45283,6,33,rpc,0.07989274260698942
45284,6,98,rpc,0.04711415816326533
45285,6,756,rpc,0.2857142857142857
45286,7,287,rpc,0.011020176646949185
45287,8,295,rpc,0.3603813559322033
45288,20,4,rpc,0.5336042104490349
45289,3,727,memcached,0.9908940852819804
45290,3,800,memcached,0.9886979166666664
45291,6,33,memcached,0.7639691555987917
45292,19,54,memcached,0.08927775509169189
45293,3,800,db,0.004062500000000001
45294,4,20,db,0.03675817921493815
45295,6,33,db,0.11329628927343632
45296,8,295,db,0.4497881355932203
45297,19,54,db,0.2420285097376689
45298,20,4,db,0.1555195609679995
45299,6,33,mq,0.04271677507825152
45300,3,800,rpc,0.0068750000000000035
45301,8,700,rpc,0.9828571428571428
45302,5,97,memcached,0.6714296543359608
45303,5,9894,memcached,0.4959571457448959
45304,6,756,memcached,0.5343915343915344
45305,7,287,memcached,0.5128838829916528
45306,8,295,memcached,0.18813559322033896
45307,1,516,db,6.682705159048383e-05
45308,5,97,db,0.22272968465736853
45309,5,9894,db,0.12805740853042247
45310,6,98,db,0.29344706632653056
45311,7,287,db,0.4751235718337254
45312,10,288,mq,0.017676767676767676
45313,13,434,mq,0.07834101382488479
45314,4,739,rpc,0.0013531799729364006
45315,6,549,rpc,0.0036429872495446266
45316,7,211,rpc,0.19401658767772512
45317,8,588,rpc,0.979591836734694
45318,10,36,rpc,0.1788377076470797
45319,2,1041,memcached,0.8402177393531861
45320,3,1506,memcached,1.0
45321,3,2310,memcached,0.9948051948051948
45322,4,739,memcached,0.9986468200270636
45323,7,654,memcached,0.001529051987767584
45324,10,288,memcached,0.5496369949494954
45325,3,1738,mq,0.00019179133103183733
45326,10,173,mq,0.03973988439306359
45327,2,1041,rpc,0.15978226064681395
45328,3,1738,rpc,0.009781357882623706
45329,4,850,rpc,0.00047058823529411766
45330,7,654,rpc,0.981651376146789
45331,9,244,rpc,0.27356557377049184
45332,10,173,rpc,0.2406069364161849
45333,3,1738,memcached,0.9892596854622172
45334,6,549,memcached,0.9963570127504554
45335,10,173,memcached,0.20014450867052025
45336,13,434,memcached,0.8548387096774194
45337,7,211,db,0.12559241706161134
45338,8,588,db,0.018707482993197282
45339,9,244,db,0.4938524590163934
45340,10,36,db,0.2696268550986434
45341,10,173,db,0.5195086705202312
45342,10,288,db,0.4294507575757573
45343,13,434,db,0.06682027649769585
45344,4,850,mq,0.18746218487394967
45345,7,211,mq,0.11877962085308055
45346,10,36,mq,0.08636834555307624
45347,3,2310,rpc,0.0047619047619047615
45348,10,288,rpc,0.0032354797979798
45349,4,850,memcached,0.8109579831932778
45350,7,211,memcached,0.561611374407583
45351,8,588,memcached,0.0017006802721088435
45352,9,244,memcached,0.23258196721311475
45353,10,36,memcached,0.4651670917012009
45354,3,1738,db,0.0007671653241273494
45355,3,2310,db,0.00043290043290043285
45356,4,850,db,0.0011092436974789908
45357,7,654,db,0.016819571865443424
45358,1,155,http,0.0011237440507667902
45359,1,213,http,0.0006604901908281119
45360,2,69,http,0.001824869197057545
45361,1,155,mq,0.0063590692755156
45362,1,213,mq,0.009764544172512895
45363,2,69,mq,0.00984768566701828
45364,4,625,mq,0.30742857142857144
45365,5,126,mq,0.032748997034711284
45366,14,299,mq,0.05518394648829432
45367,19,53,mq,0.05471988974133523
45368,1,213,rpc,0.046537781824024016
45369,7,559,rpc,0.5599284436493739
45370,12,1284,rpc,0.011682242990654205
45371,19,53,rpc,0.5882460862425021
45372,5,126,memcached,0.6117652189080759
45373,5,713,memcached,0.4992987377279102
45374,7,559,memcached,0.13506261180679788
45375,14,299,memcached,0.5100334448160535
45376,1,155,db,0.028556319407720774
45377,2,778,db,0.0012853470437017994
45378,4,625,db,0.0013714285714285714
45379,12,1284,db,0.02180685358255452
45380,3,1376,mq,0.0007267441860465116
45381,5,713,mq,0.4922861150070126
45382,2,69,rpc,0.07207200828831634
45383,2,778,rpc,0.005141388174807198
45384,5,713,rpc,0.005610098176718092
45385,1,155,memcached,0.8775383395029095
45386,1,213,memcached,0.9112086970492168
45387,1,1381,memcached,0.9007965242577842
45388,2,69,memcached,0.8991944143544581
45389,2,778,memcached,0.993573264781491
45390,3,1376,memcached,0.9963662790697676
45391,4,625,memcached,0.6912
45392,5,126,db,0.3087388801674518
45393,5,713,db,0.002805049088359046
45394,14,299,db,0.3628762541806021
45395,8,117,mq,0.007426089393302511
45396,1,155,rpc,0.0864225277630883
45397,1,1381,rpc,0.0992034757422158
45398,3,1376,rpc,0.0007267441860465116
45399,5,126,rpc,0.04674690388976102
45400,8,117,rpc,0.4441642146560181
45401,14,299,rpc,0.07190635451505016
45402,8,117,memcached,0.2185792349726776
45403,12,1284,memcached,0.9665109034267912
45404,19,53,memcached,0.11067034493868427
45405,1,213,db,0.03182848676341956
45406,2,69,db,0.01706102249315005
45407,3,1376,db,0.0021802325581395357
45408,7,559,db,0.30500894454382826
45409,8,117,db,0.32983046097800195
45410,19,53,db,0.24636367907747905
45411,3,60,http,0.008218588204302053
45412,10,127,mq,0.08076490438695165
45413,3,369,rpc,0.013990923041760531
45414,3,60,memcached,0.8246268883552683
45415,10,127,db,0.2281214848143981
45416,3,369,http,0.00024488196689195806
45417,3,178,mq,0.017183906691403482
45418,8,147,mq,0.007246376811594205
45419,8,147,rpc,0.34309375924282765
45420,10,127,memcached,0.4641169853768281
45421,8,147,db,0.42472641230405217
45422,3,178,http,0.0006784671692598816
45423,3,60,mq,0.030248133175273795
45424,3,369,mq,0.00035099748587847333
45425,3,60,rpc,0.06523703861312903
45426,3,178,rpc,0.02777674894694484
45427,10,127,rpc,0.22699662542182225
45428,3,178,memcached,0.945340462569823
45429,3,369,memcached,0.9803686289874928
45430,8,147,memcached,0.2249334516415262
45431,3,60,db,0.07166935165202587
45432,3,178,db,0.009020414622566787
45433,3,369,db,0.0050445685179743216
45434,3,1244,mq,0.0008038585209003215
45435,3,1330,mq,0.000578368999421631
45436,6,406,mq,0.0919540229885058
45437,10,1085,mq,0.14746543778801846
45438,12,87,mq,0.038314176245210725
45439,3,340,memcached,0.980914872091346
45440,3,1244,memcached,0.9959807073954984
45441,3,1571,memcached,0.9923615531508592
45442,3,2912,memcached,0.9986263736263736
45443,10,1085,memcached,0.8488479262672811
45444,3,340,db,0.0039817892759069174
45445,3,1571,db,0.0006365372374283894
45446,10,364,db,0.005494505494505495
45447,10,1085,db,0.003686635944700461
45448,7,392,mq,0.08024118738404452
45449,1,483,rpc,0.04278812974465148
45450,3,340,rpc,0.014142217083393518
45451,3,1244,rpc,0.0008038585209003215
45452,3,1330,rpc,0.0016194331983805676
45453,3,1554,rpc,0.0033930033930033928
45454,3,1571,rpc,0.007001909611712286
45455,3,2912,rpc,0.0010302197802197802
45456,6,406,rpc,0.0026272577996715924
45457,9,274,rpc,0.0036496350364963507
